1	2.6
5	2.6	
10	2.8
15	3.2
20	3.9
25	5.2
26	5.7
27	6.2
28	6.8	 
29	7.4
30	8.2	
30.5	8.6
31	9	
31.5	9.3 
32	9.6
32.2	9.7
32.4	9.8
32.6	9.9	
32.8	9.9
33	10	
33.1	10
33.2	10	 
33.23	10	
33.3	10
33.4	10
33.5	10	
33.6	10
33.7	10	 
33.8	9.9
33.9	9.9
34	9.9
34.2	9.8
34.4	9.7
34.6	9.6
34.8	9.5
35	9.3
35.2	9.2
35.4	9		
35.6	8.8 
35.8	8.7
36	8.5	
36.5	8	
37	7.5
37.5	7.1
38	6.7
38.5	6.3	
39	5.9	 
39.5	5.5
40	5.2
41	4.6
42	4.1
43	3.7
44	3.4
45	3.1
50	2.0
55	1.5
60	1.1	 
65	0.9 
70	0.7	 
80	0.5
90	0.4
100	0.3
125	0.1
150	0.1
200	0
