0	175	
20.5	165
38	149
50	140
68	122
80	115
98	105
110	99
125	90
140	85
155	75
170	70
183	65
199	60
212	55
229	51
241	45
258	43
272	40
289	39
301	35
318	31
330	27
345	26
360	25
375	24
