7.000	14.3	14.2	0.1 	0.125
7.125	14.2	14.1	0.1 	0.125
7.250	14.1	14.0	0.1 	0.125
7.375	14.0	13.9	0.1 	0.125
7.500	13.9	13.8 	0.1 	0.125
7.625	13.8 	13.7 	0.1 	0.125
7.750 	13.7 	13.6 	0.1 	0.125
7.875 	13.6 	13.5 	0.1 	0.125
8.000 	13.5 	13.4 	0.1 	0.125
8.125 	13.4 	13.3 	0.1 	0.125
8.250 	13.3 	13.1 	0.2 	0.125
8.375 	13.1 	12.9 	0.2 	0.125
8.500 	12.9 	12.6 	0.3 	0.125
8.625 	12.6 	12.4 	0.3 	0.125
8.750 	12.4 	12.0 	0.4 	0.125
8.875 	12.0 	11.7 	0.3 	0.125
9.000	11.7	11.3	0.4 	0.125
9.125	11.3	10.9	0.4 	0.125
9.250	10.9	10.3	0.6 	0.125
9.375	10.3	 9.5 	0.8 	0.125
9.500	 9.5 	 8.3 	1.2 	0.125
9.625	 8.3 	 5.3 	2.0 	0.125
9.750	 5.3 	 1.5 	3.8 	0.125
9.875	 1.5 	 0.0 	1.5 	0.125
