#x[mm]	#I[nV]
0		1.3
1		1.3
2		1.5
3		1.8
4		2.2
5		2.3
6		2.1
7		1.5
8		.9
9		.8
10		1.6
11		3.4
12		6.4
13		9.6
14		11
15		12.5
16		12.5
17		12
18		12.5
19		16
20		24
21		32
22		46
23		58
24		68
25		72
26		68
27		58
28		44
29		28
30		18
31		9.2
32		3.8
33		2.4
34		2.75
35		3.4
36		4
37		3.6
38		2.7
39		1.55
40		.84
41		.58
42		.82
43		1.1
44		1.45
45		1.5
46		1.26
47		.9
48		.66
49		.42
50		.34
