#x[cm]		D_0[mm]		D_m[mm]
3			3.91		3.54
5			3.85		3.36
7			3.81		3.18
9			3.78		2.99
11			3.73		2.78
13			3.68		2.59
15			3.65		2.43
17			3.60		2.27
19			3.52		2.13
21			3.48		2.00
23			3.45		1.90
25			3.35		1.79
27			3.34		1.77
29			6.77		5.05
31			6.80		5.08
33			6.90		5.13
35			6.95		5.20
37			7.00		5.28
39			7.04		5.38
41			7.09		5.52
43			7.14		5.69
45			7.19		5.88
47			7.33		6.21
49			7.45		6.52
51			7.55		6.85
53			7.67		7.23
